"significō significāre significāvī significātus","to signify, indicate, mean",1,Verb
"silentium (silentum) silentiī {n.}","silence",1,Noun
"simplex simplicis","simple, single, plain",1,Adjective
"sincērus sincēra sincērum","sincere, pure, genuine",1,Adjective
"singulī singulae singula","one each, single, individual",1,Numeral
"sinister sinistra sinistrum","left, on the left side; unfavorable",1,Adjective
"Sisapō Sisapōnis {f.}","Sisapo (a town in Spain)",1,Noun
"situs sita situm","situated, located, placed",1,Adjective
"sōbrius sōbria sōbrium","sober, moderate",1,Adjective
"socer socerī {m.}","father-in-law",1,Noun
"Sōcraticus Sōcratica Sōcraticum","Socratic, of Socrates",1,Adjective
"sollicitus sollicita sollicitum","worried, anxious, troubled",1,Adjective
"solūtiō solūtiōnis {f.}","a loosening, payment, explanation",1,Noun
"sonus sonī {m.}","sound, noise",1,Noun
"splendidus splendida splendidum","splendid, brilliant, illustrious",1,Adjective
"spondeō spondēre spondī spōnsum","to promise solemnly, pledge, vow",1,Verb
"stimulus stimulī {m.}","goad, spur, stimulus",1,Noun
"stīpendium stīpendiī {n.}","pay, salary, tribute",1,Noun
"stola stolae {f.}","stola (a woman's long outer garment)",1,Noun
"stuprum stuprī {n.}","debauchery, dishonor, rape",1,Noun
"suādeō suādēre suāsī suāsum","to advise, recommend, persuade (+ dative)",1,Verb
"sub","under, below (+ ablative or accusative)",1,Preposition
"subsequor subsequī subsecūtus sum","to follow closely, pursue",1,Verb
"subtīlis subtīle","fine, slender, subtle",1,Adjective
"sūdō sūdāre sūdāvī sūdātus","to sweat, perspire",1,Verb
"Sulpicius Sulpiciī {m.}","Sulpicius (a Roman name)",1,Noun
"sumittō (submittō) sumittere sumīsī sumissum","to lower, let down, submit",1,Verb
"superfluō superfluere superflūxī superflūxum","to overflow, be superfluous",1,Verb
"superō superāre superāvī superātus","to overcome, conquer, surpass",1,Verb
"suppeditō suppeditāre suppeditāvī suppeditātus","to supply, furnish, be available",1,Verb
"suppetō suppetere suppetīvī (suppetiī) suppetītum","to be at hand, be available, suffice",1,Verb
"supplex supplicis","suppliant, humble, beseeching",1,Adjective
"suprā","above, before (adverb and preposition + accusative)",1,Preposition
"Tagus Tagī {m.}","the Tagus river",1,Noun
"tam...quam...","as...as...",1,Adverb
"tamdiū","for so long",1,Adverb
"tametsī {or} tamenetsī","although, though",1,Conjunction
"tamquam","as, just as, as if",1,Adverb
"tangō tangere tetigī tāctus","to touch",1,Verb
"Tarquinius Tarquinia Tarquinium","Tarquinian, of Tarquinius",1,Adjective
"Tarracō (Tarracōn) Tarracōnis {f.}","Tarraco (a city in Spain)",1,Noun
"tegō tegere tēxī tēctus","to cover, protect, hide",1,Verb
"tēgula tēgulae {f.}","tile, roof-tile",1,Noun
"temeritās temeritātis {f.}","rashness, recklessness",1,Noun
"temperantia temperantiae {f.}","moderation, self-control, temperance",1,Noun
"temperātus temperāta temperātum","temperate, moderate",1,Adjective
"templum templī {n.}","temple, sacred precinct",1,Noun
"terreō terrēre terruī territus","to frighten, terrify",1,Verb
"testimōnium testimōniī {n.}","testimony, evidence, proof",1,Noun
"Theophrastus Theophrastī {m.}","Theophrastus (a Greek philosopher)",1,Noun
"trahō trahere trāxī tractus","to drag, draw, pull",1,Verb
"trānsiliō trānsilīre trānsilīvī (trānsiliī {or} trānsiluī)","to jump across, leap over",1,Verb
"trecentī trecentae trecenta {;} trecentēsimus trecentēsima trecentēsimum","three hundred; three-hundredth",1,Numeral
"trecentiēs","three hundred times",1,Adverb
"trīgintā {;} trīcēsimus (trīcēnsimus) trīcēsima trīcēsimum","thirty; thirtieth",1,Numeral
"tuba tubae {f.}","trumpet",1,Noun
"Tulingus Tulinga Tulingum","of the Tulingi (a Germanic tribe)",1,Adjective
"Tullius Tulliī {m.}","Tullius (a Roman name, e.g., Cicero)",1,Noun
"tumultus tumultūs {m.}","uproar, commotion, tumult",1,Noun
"tundō tundere tutudī tūnsus","to beat, strike",1,Verb
"turba turbae {f.}","crowd, mob, disturbance",1,Noun
"turbō turbāre turbāvī turbātus","to disturb, confuse, throw into disorder",1,Verb
"turbulentus turbulenta turbulentum","turbulent, stormy, agitated",1,Adjective
"turma turmae {f.}","squadron, troop (of cavalry)",1,Noun
"tūtō","safely",1,Adverb
"ūber ūberis","fertile, rich, abundant",1,Adjective
"ūbertās ūbertātis {f.}","fertility, abundance",1,Noun
"unda undae {f.}","wave",1,Noun
"unde","from where, whence",1,Adverb
"ūnicus ūnica ūnicum","only, sole, unique",1,Adjective
"usquam","anywhere",1,Adverb
"ūsurpō ūsurpāre ūsurpāvī ūsurpātus","to seize, make use of, usurp",1,Verb
"vacō vacāre vacāvī vacātus","to be empty, be free from, have leisure",1,Verb
"vacuus vacua vacuum","empty, vacant, free from",1,Adjective
"vadum vadī {n.}","a shallow place, ford, shoal",1,Noun
"vagor vagārī vagātus sum","to wander, roam",1,Verb
"varius varia varium","various, different, changeable",1,Adjective
"vehemēns vehementis","violent, strong, vehement",1,Adjective
"velut {or} velutī","just as, as if",1,Adverb
"ventitō ventitāre ventitāvī ventitātus","to come often, keep coming",1,Verb
"venustās venustātis {f.}","charm, beauty, grace",1,Noun
"verber verberis {n.}","lash, whip, blow",1,Noun
"verēcundia verēcundiae {f.}","modesty, shame, respect",1,Noun
"verēcundus verēcunda verēcundum","modest, shy, respectful",1,Adjective
"vereor verērī veritus sum","to fear, respect, be in awe of",1,Verb
"vergō vergere","to bend, incline, turn",1,Verb
"Verucloetius Verucloetiī {m.}","Verucloetius (a chief of the Helvetii)",1,Noun
"vesper vesperis {m. or} vesper vesperī {m.}","evening",1,Noun
"vetō (votō) vetāre vetuī vetitus","to forbid, prohibit",1,Verb
"vetustās vetustātis {f.}","old age, antiquity, long duration",1,Noun
"vīctus vīctūs {m.}","food, nourishment, way of life",1,Noun
"virīlis virīle","manly, masculine, virile",1,Adjective
"vīsō vīsere vīsī vīsus","to look at, view, visit",1,Verb
"vitiōsus vitiōsa vitiōsum","faulty, vicious, corrupt",1,Adjective
"vītō vītāre vītāvī vītātus","to avoid, shun",1,Verb
"voluntārius voluntāria voluntārium","voluntary, willing",1,Adjective
"voluptās voluptātis {f.}","pleasure, delight, enjoyment",1,Noun
"vōtum vōtī {n.}","vow, prayer, offering",1,Noun
"vulgāris vulgāre","common, ordinary, vulgar",1,Adjective
"vulgō","commonly, publicly, everywhere",1,Adverb
"vulnerō vulnerāre vulnerāvī vulnerātus","to wound, injure",1,Verb
